test/success_rate,train/episode,train/success_rate,test/episode,stats_o/std,stats_g/std,epoch,stats_o/mean,test/mean_Q,stats_g/mean
0.75,8400.0,0.5800000000000001,1680.0,0.08735886,0.0761395,83,0.20086846,-5.464452,0.8370347
0.95,8500.0,0.565,1700.0,0.08839385,0.07616098,84,0.2008502,-6.525138,0.8369852
0.75,8600.0,0.6,1720.0,0.089440115,0.076255776,85,0.20078763,-4.213358,0.8369622
0.85,8700.0,0.65,1740.0,0.09022989,0.076312535,86,0.20078167,-5.564272,0.83689266
0.95,8800.0,0.6699999999999999,1760.0,0.09085833,0.07632925,87,0.20083782,-5.7964067,0.83687323
0.95,8900.0,0.6399999999999999,1780.0,0.09159552,0.07648091,88,0.20082173,-4.9922442,0.83681375
1.0,9000.0,0.675,1800.0,0.09224448,0.07669187,89,0.20080823,-3.7751572,0.8367815
0.75,9100.0,0.685,1820.0,0.09285968,0.07699675,90,0.20079279,-4.887759,0.83672786
1.0,9200.0,0.765,1840.0,0.09332843,0.07704431,91,0.2008031,-3.5518947,0.83664626
1.0,9300.0,0.755,1860.0,0.09386418,0.077093534,92,0.20084268,-4.7294703,0.8366001
0.9,9400.0,0.76,1880.0,0.09444114,0.07714839,93,0.20080969,-4.819102,0.83663034
1.0,9500.0,0.725,1900.0,0.09487605,0.07713345,94,0.2007565,-3.8560472,0.83663005
1.0,9600.0,0.745,1920.0,0.09550881,0.07722209,95,0.20079455,-2.9473274,0.83662385
0.95,9700.0,0.74,1940.0,0.09604515,0.07725591,96,0.20080975,-5.057225,0.8366329
0.9,9800.0,0.78,1960.0,0.09661756,0.07729683,97,0.20087534,-2.2762563,0.836626
1.0,9900.0,0.825,1980.0,0.09706471,0.07731583,98,0.20086737,-2.9567838,0.8366615
1.0,10000.0,0.7949999999999999,2000.0,0.09751988,0.07736555,99,0.20091261,-3.478113,0.83663744
0.95,10100.0,0.845,2020.0,0.09794261,0.07735553,100,0.2009576,-3.0688655,0.83667535
0.9,10200.0,0.8,2040.0,0.09843972,0.07751908,101,0.20092072,-2.4604883,0.8366947
0.9,10300.0,0.84,2060.0,0.0987453,0.07746308,102,0.200947,-2.000338,0.8367049
0.9,10400.0,0.865,2080.0,0.099050045,0.077570945,103,0.20101915,-2.2649436,0.8367149
1.0,10500.0,0.86,2100.0,0.09922873,0.0775544,104,0.20104681,-2.940238,0.83670026
1.0,10600.0,0.915,2120.0,0.09945154,0.07748511,105,0.20112209,-1.7955098,0.83673525
0.9,10700.0,0.905,2140.0,0.099609956,0.07736824,106,0.20117632,-1.6756781,0.8367491
1.0,10800.0,0.89,2160.0,0.099847466,0.07728383,107,0.20120919,-1.5715196,0.83678484
1.0,10900.0,0.92,2180.0,0.10000453,0.07720969,108,0.2012397,-1.9087379,0.8368685
0.95,11000.0,0.905,2200.0,0.10027008,0.07716903,109,0.20127295,-1.8597205,0.83686084
0.95,11100.0,0.9,2220.0,0.100573055,0.077209435,110,0.20124513,-1.9155309,0.83685684
