stats_g/std,stats_g/mean,epoch,stats_o/std,train/episode,test/episode,train/success_rate,test/success_rate,stats_o/mean,test/mean_Q
0.16469276,0.76154375,85,0.090012506,1720.0,1720.0,0.05,0.125,0.17586608,-16.674065
0.1653236,0.7621608,86,0.09051342,1740.0,1740.0,0.025,0.15000000000000002,0.17602436,-18.598446
0.16557012,0.7627368,87,0.09061057,1760.0,1760.0,0.0,0.07500000000000001,0.17610766,-17.338526
0.16637091,0.76314306,88,0.09105092,1780.0,1780.0,0.1,0.1,0.17622748,-20.276405
0.16721065,0.76385903,89,0.09136899,1800.0,1800.0,0.05,0.1,0.17641076,-19.010178
0.16779532,0.7641905,90,0.091615066,1820.0,1820.0,0.1,0.075,0.176507,-16.26719
0.16912603,0.7645769,91,0.09196918,1840.0,1840.0,0.07500000000000001,0.07500000000000001,0.17659985,-17.575924
0.17059027,0.7645814,92,0.092602685,1860.0,1860.0,0.05,0.07500000000000001,0.17663851,-16.888329
0.17147885,0.7646744,93,0.09317874,1880.0,1880.0,0.1,0.07500000000000001,0.17668636,-18.032818
0.17211348,0.76485544,94,0.09365804,1900.0,1900.0,0.05,0.05,0.17671317,-19.57182
0.17311603,0.7646224,95,0.09390023,1920.0,1920.0,0.07500000000000001,0.1,0.17669746,-18.167341
0.17355959,0.76469976,96,0.09395968,1940.0,1940.0,0.025,0.07500000000000001,0.1766658,-16.567917
0.1737988,0.7651377,97,0.0940599,1960.0,1960.0,0.025,0.175,0.17678969,-16.097008
0.174008,0.7654142,98,0.09426992,1980.0,1980.0,0.07500000000000001,0.1,0.17680225,-16.479
0.17467563,0.76589465,99,0.0943929,2000.0,2000.0,0.025,0.07500000000000001,0.17685829,-16.289997
0.17521895,0.7662339,100,0.094588816,2020.0,2020.0,0.0,0.1,0.17688467,-17.47055
0.17603578,0.7663517,101,0.09497388,2040.0,2040.0,0.125,0.175,0.17684118,-16.436893
0.1768771,0.7667597,102,0.0953553,2060.0,2060.0,0.075,0.125,0.17694342,-17.288834
0.17705075,0.76692444,103,0.09541957,2080.0,2080.0,0.1,0.15000000000000002,0.17697927,-16.579193
0.17749558,0.76711446,104,0.0954043,2100.0,2100.0,0.075,0.125,0.17702219,-16.853092
0.17784743,0.7671568,105,0.09542265,2120.0,2120.0,0.025,0.025,0.17705551,-19.19454
0.17820553,0.7676341,106,0.09556613,2140.0,2140.0,0.05,0.05,0.17714179,-17.445143
0.17820603,0.7679753,107,0.09557448,2160.0,2160.0,0.1,0.15000000000000002,0.17718191,-17.123138
0.17874295,0.7681689,108,0.09610879,2180.0,2180.0,0.05,0.25,0.17720047,-15.581726
0.1785791,0.7684789,109,0.096060306,2200.0,2200.0,0.1,0.25,0.1772967,-14.307955
0.17878132,0.76882887,110,0.09644395,2220.0,2220.0,0.05,0.22499999999999998,0.17736539,-16.43987
0.17868656,0.7691124,111,0.096302785,2240.0,2240.0,0.05,0.15000000000000002,0.17741433,-17.71791
0.1784299,0.769401,112,0.09629029,2260.0,2260.0,0.125,0.3,0.17748164,-14.57818
0.17849548,0.76991415,113,0.096505746,2280.0,2280.0,0.05,0.125,0.17756766,-16.91271
0.17845766,0.77025443,114,0.09639774,2300.0,2300.0,0.125,0.15,0.17761777,-15.4667425
0.1784728,0.7704685,115,0.09630497,2320.0,2320.0,0.1,0.07500000000000001,0.17762408,-18.327461
0.17851861,0.7707997,116,0.09628089,2340.0,2340.0,0.025,0.125,0.17770325,-16.704626
0.17848451,0.7710622,117,0.09623835,2360.0,2360.0,0.05,0.22499999999999998,0.1777658,-16.120787
0.17829096,0.7714806,118,0.096103884,2380.0,2380.0,0.05,0.25,0.1778666,-16.573841
0.17827761,0.77182835,119,0.09617247,2400.0,2400.0,0.025,0.075,0.17793724,-18.724087
0.17868133,0.7720704,120,0.09627591,2420.0,2420.0,0.07500000000000001,0.1,0.17798913,-15.863931
0.178492,0.77240205,121,0.096176885,2440.0,2440.0,0.175,0.225,0.17806713,-16.229744
0.17836429,0.7728498,122,0.09615838,2460.0,2460.0,0.025,0.375,0.17819004,-14.507577
0.17856033,0.7730012,123,0.09635703,2480.0,2480.0,0.1,0.15,0.17819703,-17.19955
0.17885546,0.7733259,124,0.09667744,2500.0,2500.0,0.07500000000000001,0.1,0.17824276,-17.757591
0.17870414,0.77361035,125,0.096583985,2520.0,2520.0,0.05,0.125,0.17826304,-20.285873
0.17876762,0.77376777,126,0.09664414,2540.0,2540.0,0.07500000000000001,0.225,0.17833287,-15.986577
0.17852788,0.77421904,127,0.09662076,2560.0,2560.0,0.1,0.1,0.17843226,-16.840954
0.1787036,0.77448153,128,0.096673764,2580.0,2580.0,0.125,0.1,0.17845644,-16.62109
0.17860432,0.77491885,129,0.09661874,2600.0,2600.0,0.07500000000000001,0.15000000000000002,0.17850842,-16.219862
0.17869754,0.7753031,130,0.09662856,2620.0,2620.0,0.075,0.25,0.17856815,-14.684492
0.17865069,0.7757357,131,0.096587665,2640.0,2640.0,0.15,0.2,0.17864904,-15.376153
0.17841344,0.776128,132,0.09645843,2660.0,2660.0,0.07500000000000001,0.3,0.17872523,-14.73254
0.17838961,0.7763991,133,0.09642131,2680.0,2680.0,0.15000000000000002,0.3,0.17875208,-15.443862
0.1785586,0.77670115,134,0.09655057,2700.0,2700.0,0.075,0.32499999999999996,0.17882054,-14.23325
0.178626,0.7769485,135,0.09669445,2720.0,2720.0,0.05,0.125,0.1788928,-17.23196
