epoch,stats_o/std,stats_o/mean,test/episode,stats_g/std,test/success_rate,train/success_rate,stats_g/mean,test/mean_Q,train/episode
100,0.094240904,0.17652954,2020.0,0.18348913,0.2,0.05,0.7673621,-16.376024,2020.0
101,0.094116114,0.17667997,2040.0,0.18332273,0.175,0.1,0.76797724,-16.453674,2040.0
102,0.09411148,0.17676696,2060.0,0.18317942,0.2,0.1,0.76846904,-14.52471,2060.0
103,0.09409091,0.17680643,2080.0,0.18312679,0.15000000000000002,0.075,0.76867694,-15.8245535,2080.0
104,0.09407672,0.1768875,2100.0,0.18322392,0.125,0.05,0.76917213,-12.818679,2100.0
105,0.09402158,0.17698458,2120.0,0.18318568,0.2,0.025,0.7697869,-14.380127,2120.0
106,0.09401421,0.17705445,2140.0,0.18316458,0.25,0.1,0.7701122,-13.822569,2140.0
107,0.094112575,0.17716475,2160.0,0.18317182,0.15000000000000002,0.15000000000000002,0.7705373,-15.25411,2160.0
108,0.09448679,0.17727415,2180.0,0.1838988,0.3,0.05,0.77096957,-16.152756,2180.0
109,0.09482934,0.17734684,2200.0,0.18412589,0.25,0.175,0.7713158,-15.484515,2200.0
110,0.094810344,0.177389,2220.0,0.18414007,0.22499999999999998,0.075,0.77164656,-13.689089,2220.0
111,0.09467981,0.17749521,2240.0,0.1839145,0.25,0.2,0.7721582,-14.520396,2240.0
112,0.09482582,0.1774982,2260.0,0.18417293,0.35,0.1,0.77240735,-15.941185,2260.0
113,0.09477845,0.17757802,2280.0,0.18421583,0.3,0.025,0.7727628,-16.434116,2280.0
114,0.09479142,0.17763013,2300.0,0.18430002,0.15,0.05,0.7731362,-17.256111,2300.0
115,0.094885185,0.17763752,2320.0,0.18453975,0.35,0.075,0.7732677,-15.642738,2320.0
116,0.09487061,0.17772236,2340.0,0.18462984,0.225,0.1,0.7738676,-15.554031,2340.0
117,0.09484608,0.17779799,2360.0,0.18467438,0.375,0.07500000000000001,0.77419925,-14.638125,2360.0
118,0.09482953,0.17793088,2380.0,0.18468265,0.275,0.05,0.77478546,-17.452812,2380.0
119,0.094750136,0.17808034,2400.0,0.18456258,0.45,0.19999999999999998,0.7752587,-14.467951,2400.0
120,0.09486177,0.17816454,2420.0,0.18463199,0.35,0.05,0.7758841,-14.457157,2420.0
121,0.094938114,0.17823784,2440.0,0.18466501,0.35,0.07500000000000001,0.7762179,-14.9219,2440.0
122,0.09499684,0.1783423,2460.0,0.18471222,0.35,0.175,0.7766214,-14.66248,2460.0
123,0.094943084,0.17841318,2480.0,0.18468124,0.25,0.15,0.7767709,-13.746271,2480.0
124,0.09493169,0.17850032,2500.0,0.18488045,0.15,0.15000000000000002,0.7771108,-15.630146,2500.0
125,0.094959386,0.17853817,2520.0,0.1847533,0.15,0.07500000000000001,0.7776106,-13.60042,2520.0
126,0.09496427,0.17857327,2540.0,0.18494354,0.25,0.07500000000000001,0.7778518,-12.924194,2540.0
127,0.0950594,0.17864561,2560.0,0.18501605,0.15,0.125,0.7782231,-11.989468,2560.0
